'~' ---->1011110011001100100
'/' ---->1011110011001100101
']' ---->101111001100110000
'Z' ---->101111001100110001
'\' ---->101111001100110011
'X' ---->101111001100111100
'_' ---->101111001100111101
'$' ---->10111100110011111
'%' ---->1011110011001101
'=' ---->1011110011001110
'`' ---->01010010011010
'7' ---->01010010011011
'(' ---->10111100110010
')' ---->0001101001010
'9' ---->0001101001011
'8' ---->0101001001000
'6' ---->0101001001001
'Tab(/t)' ---->0101001001010
'5' ---->0101001001011
'Q' ---->0101001001100
'4' ---->1010010100000
'K' ---->1010010100001
'0' ---->1011110010000
'3' ---->1011110010001
':' ---->1011110011000
'J' ---->000110100100
'V' ---->010100100111
'2' ---->101001010001
'U' ---->101111001001
'1' ---->101111001101
';' ---->00011010011
'q' ---->10100101001
'E' ---->10111100101
'Y' ---->10111100111
'O' ---->10111101010
'*' ---->10111101011
'z' ---->0001101000
'j' ---->0001111110
'N' ---->0001111111
'C' ---->0101001000
'B' ---->0101001110
'x' ---->0101001111
'F' ---->1010010000
'L' ---->1010010001
'!' ---->1010010101
'G' ---->1011110100
'?' ---->1011110110
'P' ---->1011110111
'D' ---->000110101
'A' ---->000111110
'S' ---->010100101
'W' ---->010100110
'R' ---->101001001
'T' ---->101001011
'M' ---->101111000
'-' ---->00011011
'I' ---->00011110
''' ---->0001100
'v' ---->0001110
'H' ---->0101000
'k' ---->1010011
'b' ---->1011111
'p' ---->000100
'"' ---->000101
',' ---->010101
'.' ---->010110
'f' ---->010111
'm' ---->100100
'c' ---->100101
'w' ---->101000
'y' ---->101100
'g' ---->101101
'u' ---->101110
'Enter(/n)' ---->01000
'Enter(/r)' ---->01001
'l' ---->10011
'd' ---->10101
'h' ---->11110
's' ---->11111
'i' ---->0000
'r' ---->0010
'n' ---->0011
'o' ---->0110
'a' ---->0111
't' ---->1000
'e' ---->1110
' ' ---->110
